long,lat,location,name,commit number,username
﻿-78.7811964,35.7883046,"Cary, NC",Michael DeHaan,5418,"NamedUser(login=""mpdehaan"")"
-125.3118342,50.2380853,"Granite Bay, CA",Toshio Kuratomi,5256,"NamedUser(login=""abadger"")"
-122.6741949,45.5202471,"Portland, Oregon, USA",Matt Clay,2998,"NamedUser(login=""mattclay"")"
-123.1139529,49.2608724,"Vancouver, BC, Canada",Brett Cannon,2108,"NamedUser(login=""brettcannon"")"
-78.7811964,35.7883046,"Cary, NC",Michael DeHaan,5418,"NamedUser(login=""mpdehaan"")"
-125.3118342,50.2380853,"Granite Bay, CA",Toshio Kuratomi,5256,"NamedUser(login=""abadger"")"
-122.6741949,45.5202471,"Portland, Oregon, USA",Matt Clay,2998,"NamedUser(login=""mattclay"")"
-123.1139529,49.2608724,"Vancouver, BC, Canada",Brett Cannon,2108,"NamedUser(login=""brettcannon"")"
-78.7811964,35.7883046,"Cary, NC",Michael DeHaan,5418,"NamedUser(login=""mpdehaan"")"
-125.3118342,50.2380853,"Granite Bay, CA",Toshio Kuratomi,5256,"NamedUser(login=""abadger"")"
-122.6741949,45.5202471,"Portland, Oregon, USA",Matt Clay,2998,"NamedUser(login=""mattclay"")"
-123.1139529,49.2608724,"Vancouver, BC, Canada",Brett Cannon,2108,"NamedUser(login=""brettcannon"")"
-98.4951405,29.4246002,"San Antonio, TX",Matt Martz,1770,"NamedUser(login=""sivel"")"
-78.6390989,35.7803977,"Raleigh, NC",,1740,"NamedUser(login=""jctanner"")"
-78.9018053,35.996653,"Durham, NC",Peter Sprygada,1564,"NamedUser(login=""privateip"")"
8.2319736,46.7985624,Switzerland,René Moser,1476,"NamedUser(login=""resmo"")"
73.8544541,18.521428,"Pune, Maharashtra, India",Abhijeet Kasurde,1434,"NamedUser(login=""Akasurde"")"
-122.3300624,47.6038321,"Seattle, WA",Tim Rupp,1090,"NamedUser(login=""caphrim007"")"
153.0234991,-27.4689682,Brisbane Australia,Jordan Borean,1080,"NamedUser(login=""jborean93"")"
-3.2765753,54.7023545,UK,John R Barker,900,"NamedUser(login=""gundalow"")"
-3.7035825,40.4167047,"Madrid, Spain",Miguel Angel Muñoz González,858,"NamedUser(login=""mamunozgonzalez"")"
8.2319736,46.7985624,Switzerland,Felix Fontein,834,"NamedUser(login=""felixfontein"")"
-122.6741949,45.5202471,"Portland, OR USA",Matt Davis,758,"NamedUser(login=""nitzmahone"")"
-72.8012211,41.8759152,"Simsbury, CT",Nathaniel Case,680,"NamedUser(login=""Qalthos"")"
-78.9018053,35.996653,"Durham, NC",Sloane Hertel,636,"NamedUser(login=""s-hertel"")"
-77.506374,37.6659781,"Glen Allen, VA",Sam Doran,618,"NamedUser(login=""samdoran"")"
153.0234991,-27.4689682,"Brisbane, QLD, Australia",Will Thames,575,"NamedUser(login=""willthames"")"
-78.6390989,35.7803977,"Raleigh, NC",Chris Houseknecht,494,"NamedUser(login=""chouseknecht"")"
-3.6021928,37.183054,Granada,Ricardo Carrillo Cruz,488,"NamedUser(login=""rcarrillocruz"")"
-100.4458825,39.7837304,United States,Chris Archibald,454,"NamedUser(login=""carchi8py"")"
16.6113382,49.1922443,"Brno, Czech Republic",Martin Krizek,434,"NamedUser(login=""mkrizek"")"
-78.8783922,42.8867166,"Buffalo, NY",Ryan Brown,426,"NamedUser(login=""ryansb"")"
116.3912757,39.906217,Beijing,Zim Kalinowski,416,"NamedUser(login=""zikalino"")"
15.4749544,49.8167003,Czech Republic,Ondra Machacek,370,"NamedUser(login=""machacekondra"")"
-122.3300624,47.6038321,"Seattle, WA",Alex Stephen,356,"NamedUser(login=""rambleraptor"")"
30.316229,59.938732,"Saint-Petersburg, Russia",Andrey Klychkov,328,"NamedUser(login=""Andersson007"")"
12.674297,42.6384261,Italy,Gabriele,328,"NamedUser(login=""GGabriele"")"
9.1905,45.4668,"Milan, IT",Fabio Alessandro Locati,318,"NamedUser(login=""Fale"")"
-122.3300624,47.6038321,"Seattle, WA",scottb,288,"NamedUser(login=""dharmabumstead"")"
-96.994174,33.046233,"Lewisville, Texas",Monty Taylor,284,"NamedUser(login=""emonty"")"
-94.6113288,45.9896587,Minnesota,Richard Isaacson,282,"NamedUser(login=""risaacson"")"
-78.9018053,35.996653,"Durham, NC",Chris Church,264,"NamedUser(login=""cchurch"")"
